epoch,train_loss,train_accuracy,test_loss,test_accuracy
0.0,1.7354700632095337,0.2717839729966246,1.7244971878826618,0.233
1.0,1.6907312049865724,0.2922865358169771,1.7232358828186989,0.2765
2.0,1.6722340898513794,0.3032879109888736,1.7375125214457512,0.274
3.0,1.6584739713668823,0.31003875484435556,1.7511508613824844,0.261
4.0,1.648222409248352,0.3127890986373297,1.7301013469696045,0.285
5.0,1.6403745040893554,0.3119139892486561,1.7400029264390469,0.301
6.0,1.6391514673233032,0.31403925490686335,1.733092699199915,0.2895
7.0,1.6317711849212646,0.315289411176397,1.7443485520780087,0.252
8.0,1.6307298803329469,0.32079009876234527,1.7477133832871914,0.2735
9.0,1.6260234622955323,0.31978997374671836,1.7549109607934952,0.2605
10.0,1.619692762374878,0.32304038004750596,1.743671715259552,0.2585
11.0,1.6154937057495118,0.3226653331666458,1.7443841099739075,0.264
12.0,1.6198822317123414,0.32741592699087385,1.7663102224469185,0.2805
13.0,1.615779486656189,0.3227903487935992,1.749260239303112,0.256
14.0,1.6079882383346558,0.3256657082135267,1.7737966403365135,0.2975
