epoch,train_loss,train_accuracy,test_loss,test_accuracy
0.0,1.7071966190338135,0.2890361295161895,1.730725295959957,0.298
1.0,1.6511774444580078,0.30966370796349546,1.7519038442581418,0.2365
2.0,1.6137469654083252,0.32504063007875983,1.7571420007281833,0.287
3.0,1.5830004453659057,0.3496687085885736,1.8012967544888694,0.2225
4.0,1.5611944060325622,0.36054506813351667,1.7841953625754705,0.257
5.0,1.5454987087249756,0.3686710838854857,1.8457202722155859,0.214
6.0,1.523576687335968,0.3782972871608951,1.827954576129005,0.2065
7.0,1.5130914578437804,0.3817977247155894,1.8904188549707805,0.28
8.0,1.4915509471893311,0.3912989123640455,1.8588337955020724,0.241
9.0,1.4741219244003296,0.40042505313164145,1.8716328938802083,0.2445
10.0,1.4651398987770081,0.40442555319414925,1.863343942733038,0.2675
11.0,1.4556391019821167,0.40055006875859483,1.872600141025725,0.232
12.0,1.4514841418266295,0.4085510688836104,1.872340930832757,0.2605
13.0,1.4408232703208923,0.41592699087385926,1.9796860842477708,0.275
14.0,1.4282508945465089,0.42667833479184897,1.9162017882816376,0.24
